case_id,cdr_rmsd_base,cdr1_rmsd_base,cdr2_rmsd_base,cdr3_rmsd_base,fr_rmsd_base,plddt_cdr_base,cdr_recovery_base,cdr_rmsd_n3,cdr1_rmsd_n3,cdr2_rmsd_n3,cdr3_rmsd_n3,fr_rmsd_n3,plddt_cdr_n3,cdr_recovery_n3,cdr_rmsd_shuffle,cdr1_rmsd_shuffle,cdr2_rmsd_shuffle,cdr3_rmsd_shuffle,fr_rmsd_shuffle,plddt_cdr_shuffle,cdr_recovery_shuffle,cdr_rmsd_cf,cdr1_rmsd_cf,cdr2_rmsd_cf,cdr3_rmsd_cf,fr_rmsd_cf,plddt_cdr_cf,cdr_recovery_cf
valid100_001,3.375715990094318,1.139523924881631,0.8549751608202047,4.418747722063372,0.7414601900293762,0.6214043230694883,0.279412,2.6056732714203563,1.4133286823905113,0.9786379484735339,3.224385456139827,0.7948010134473859,0.598596351549906,0.205882,2.128173193217071,1.4449142367437258,1.2580659441870874,2.5678429123860393,0.7315209509544583,0.5731979722485823,0.2058825,2.979009122766244,1.6377816281945001,0.6091155940982674,3.8196470937865086,0.6587517270499526,0.6048138115335913,0.235294
valid100_002,1.2162803311416224,0.6238976511429354,0.5090004195115136,1.557857734041629,0.4705271087223185,0.6494462616515881,0.272727,0.811594066234903,0.3264318226921593,0.6188715510260696,1.007367390289593,0.3974934219110096,0.6490805325183002,0.242424,1.6298122393795378,0.46697130663774594,0.5690902509560007,2.208444027557822,0.47173235559832427,0.6046832551558813,0.212121,2.3435179833519175,0.9332361761234963,0.5937561890744121,3.112625514683736,0.4595705610570895,0.6346976499665866,0.2272725
valid100_003,0.9033499710529926,0.6709263223805174,0.7091892447533023,1.1880201515069206,0.632893769980089,0.6831577718257904,0.38636349999999997,1.0864823685924063,0.7085008310468501,0.46731466708334995,1.5808524602860614,0.6835297886661216,0.6925519542260603,0.38636349999999997,0.7215557751995045,0.6312645896902134,0.6226935575618289,0.8524772322763731,0.623049245951516,0.6758410944180056,0.431818,0.8122701617399688,0.7283012220621917,0.47108826889261396,1.0562682089601307,0.5369713923448501,0.6716905683279037,0.431818
valid100_004,0.7820306317552905,0.5317951057112927,0.5982461315787682,0.9685189846422306,0.4210455134142589,0.6717719648565565,0.339286,4.119643733201308,0.7169577424845943,0.7840679880921788,5.87974729174827,0.5204624821417565,0.6388619100408894,0.3035715,4.477123817536905,0.8255425683154299,0.354885880962311,6.436946912347397,0.49882940900564005,0.7027028586183275,0.3035715,2.424030657191039,0.574721174518201,0.28509674046919964,3.520032338049657,0.4920449115647033,0.6811033391526767,0.339286
valid100_005,1.273078659126125,1.3111969498392924,1.0081306982621114,1.2822723732143424,0.4940974072517995,0.6323720576862495,0.2916665,1.4979353742530561,1.6624547367344658,0.6291266428241233,1.384661887653841,0.5859255536841496,0.5781203893323739,0.291667,1.0156950595566263,0.8762353635908988,0.8041773464603339,1.1304235977188863,0.3701662773376464,0.602775290194485,0.291667,1.8216639240230044,2.702147476605381,0.9171882065202298,1.6322983745114628,0.5853125358059819,0.6035553883347247,0.277778
valid100_006,3.307674324255891,0.8906267090755374,0.8277398476654905,4.206624764148594,0.5941700586162459,0.5655928276479244,0.32499999999999996,2.8185993375069733,1.1606045822959996,1.1555617864195642,3.5101951570693988,0.49039340977599966,0.566770962998271,0.2875,4.684782957349752,0.760270646748924,0.6721294641663376,6.015850216640045,0.5525487307732087,0.56481823772192,0.32499999999999996,4.025721846771988,1.2816906626784403,0.7035508602203319,5.1252723546662065,0.5294652483263823,0.591558962315321,0.35
valid100_007,1.2390098744082645,0.6725721979012993,0.5656379638831293,1.5802270809367247,0.4419139486479243,0.6371824835027968,0.35714250000000003,1.363847756568483,0.8142482192121596,0.5940823353640599,1.7213097577171421,0.5553802011360953,0.6400510583605086,0.37142850000000005,1.3500909414513316,0.7961067052916224,0.5197898341698597,1.7244852048416153,0.4820645385586419,0.642941043632371,0.37142850000000005,1.6963965004892545,0.5905144140391578,1.232992258977608,2.120791125649915,0.386793506817418,0.6421707166092736,0.371429
valid100_008,0.6996921679586392,0.9557859001634053,0.5043614387215443,0.46863474459787485,0.6325552386310462,0.6472311726082927,0.326087,1.1325904260272304,1.7146556615645687,0.5064135062987207,0.6627294141929414,0.5479557112047302,0.681966197879418,0.26087,1.1612692456026052,1.7344513529944883,0.6488990412451592,0.6588804535144153,0.562617978201995,0.6601375192403793,0.2608695,1.0090940943356688,1.520274355779995,0.5541513740765798,0.5717281999332083,0.5948940160049186,0.6030009097379188,0.326087
valid100_009,0.7247712240942819,0.6149309848273377,0.483221741867349,0.9920220603711818,0.4556049625159026,0.6811439407908398,0.2391305,0.9175977162505369,1.1640694126204287,0.6103941217673661,0.8509443281745153,0.5713846806224456,0.6902541945809904,0.282609,0.7136467727247868,0.6341913351614323,0.3593531386543102,1.0303074603805775,0.6898574716010022,0.6618461984655131,0.304348,1.040703354924625,1.1113372368432168,0.6315964789752819,1.2657719789208874,0.5175046753460746,0.6418732203867125,0.326087
valid100_010,2.5253717342763857,2.060826093167182,0.5843002802131687,2.9639437650866753,1.3769000269025713,0.5696160821687608,0.1904765,2.6842740220162993,2.9223858127642908,0.6880011906002395,2.9281380595462156,1.9095780055653913,0.5575762735236258,0.214286,2.6853113614597532,2.197757059723408,0.675658684813322,3.1554482709422516,1.3685982449604033,0.5487009148512567,0.202381,2.0946916043743062,2.5084225441929773,0.48896106481243407,2.237292377593171,1.4996670148641207,0.5188923691000258,0.1666665
